,year,bodyStyle,mileage,price,counts,ave_mile,ave_price
106,2003.0,SUV,59515256.0,3162325.0,413,144104.73607748185,7656.961259079903
107,2003.0,Sedan,42049268.0,1814491.0,345,121881.93623188406,5259.394202898551
108,2003.0,Wagon,3857347.0,120145.0,30,128578.23333333334,4004.8333333333335
109,2004.0,Cargo Van,1982344.0,105166.0,13,152488.0,8089.692307692308
110,2004.0,Convertible,13462426.0,3495096.0,188,71608.64893617021,18590.936170212764
111,2004.0,Coupe,19802707.0,3954368.0,228,86853.97807017544,17343.719298245614
112,2004.0,Crew Cab Pickup,48524009.0,3565373.0,321,151165.1370716511,11107.080996884735
113,2004.0,Extended Cab Pickup,29027663.0,1831706.0,203,142993.41379310345,9023.182266009851
114,2004.0,Hatchback,5482282.0,259348.0,45,121828.48888888888,5763.288888888889
115,2004.0,Minivan,7558194.0,220176.0,51,148199.88235294117,4317.176470588235
116,2004.0,Passenger Van,1430774.0,84806.0,10,143077.4,8480.6
117,2004.0,Regular Cab Pickup,8926644.0,970539.0,87,102605.10344827586,11155.620689655172
118,2004.0,SUV,96633265.0,5009428.0,683,141483.5505124451,7334.448023426062
119,2004.0,Sedan,52940872.0,3147538.0,443,119505.35440180587,7105.051918735891
120,2004.0,Wagon,4250552.0,175709.0,33,128804.60606060606,5324.515151515152
121,2005.0,Cargo Van,730127.0,48227.0,6,121687.83333333333,8037.833333333333
122,2005.0,Convertible,14008944.0,3450536.0,188,74515.65957446808,18353.91489361702
123,2005.0,Coupe,22802338.0,6607277.0,287,79450.6550522648,23021.87108013937
124,2005.0,Crew Cab Pickup,56118854.0,4909060.0,393,142796.06615776083,12491.246819338423
125,2005.0,Extended Cab Pickup,26664951.0,1883232.0,201,132661.44776119402,9369.313432835821
126,2005.0,Hatchback,7746142.0,290379.0,60,129102.36666666667,4839.65
127,2005.0,Minivan,13375863.0,388704.0,90,148620.7,4318.933333333333
128,2005.0,Passenger Van,1074125.0,123393.0,11,97647.72727272728,11217.545454545454
129,2005.0,Regular Cab Pickup,10714850.0,949685.0,95,112787.8947368421,9996.684210526315
130,2005.0,SUV,106390219.0,6199909.0,778,136748.35347043702,7969.0347043701795
131,2005.0,Sedan,71379826.0,3914359.0,602,118571.13953488372,6502.257475083056
132,2005.0,Wagon,8630712.0,440432.0,73,118228.93150684932,6033.315068493151
133,2006.0,Cargo Van,1266109.0,142966.0,13,97393.0,10997.384615384615
